Place of interest,Type of Place,Place Address,BiciMAD Station,Station Location,Distance
Instalación Deportiva Municipal Canal de Remo Puente de la Princesa,Principales espacios de deporte,PASARELA SUR DEL PUENTE DE LA PRINCESA ,213 - Glorieta de Cádiz,Calle Antonio López nº 129,333.15924203320077
Instalación Deportiva Municipal Embajadores M-30,Principales espacios de deporte,CALLE PUERTO DE LA CRUZ VERDE 29,235 - Embajadores 191,Calle Sodio nº 1B,758.7350658849465
Instalación Deportiva Municipal Nave de Terneras,Principales espacios de deporte,PASEO CHOPERA 10,165 - Entrada Matadero,Paseo de la Chopera nº 14,124.43624384935138
Instalación Deportiva Municipal Parque Calle Vado,Principales espacios de deporte,CALLE ANTONIO LOPEZ 189 c/v Vado,213 - Glorieta de Cádiz,Calle Antonio López nº 129,549.5591783965507
Instalación Deportiva Municipal Parque Lineal del Manzanares Victoriano González,Principales espacios de deporte,CALLE EMBAJADORES 324,235 - Embajadores 191,Calle Sodio nº 1B,1918.1835698493055
Instalación Deportiva Municipal Puente de Praga,Principales espacios de deporte,AVENIDA MANZANARES 176,228 - San Delfín,Calle San Delfín nº 9,147.19500671552566
Instalación Deportiva Municipal Pádel  Marqués de Monistrol,Principales espacios de deporte,CALLE RIBERA DEL MANZANARES 1,161 - Paseo de la Florida,Paseo de la Florida nº 8,213.90645383271846
Instalación Deportiva Municipal Rocódromo 'Roc 30',Principales espacios de deporte,AVENIDA MANZANARES 108,212 - Marqués de Vadillo,Glorieta Marqués de Vadillo nº 9,274.02817169149296
Instalación Deportiva San Vicente de Paúl,Principales espacios de deporte,CALLE PELICANO 4,212 - Marqués de Vadillo,Glorieta Marqués de Vadillo nº 9,1923.3797845444292
Instalación deportiva municipal básica Campo de Fútbol Gabriel Fernández,Principales espacios de deporte,CALLE CUART DE POBLET 6,224 - Caramuel,Calle Caramuel nº 51,2920.524157546764
Madrid Caja Mágica,Principales espacios de deporte,CAMINO PERALES 23,235 - Embajadores 191,Calle Sodio nº 1B,2317.4092563918175
Movistar Academy Magariños,Principales espacios de deporte,CALLE SERRANO 129,250 - Serrano 113,Calle Serrano nº 113B,162.77469034229082
Parque Deportivo Puerta de Hierro,Principales espacios de deporte,CARRETERA DE LA CORUÑA  kilómetro 7,261 - Facultad Derecho,Avenida Complutense nº 23,2641.8985923223204
Parque Lineal UZI 0.06 Arroyofresno,Principales espacios de deporte,CALLE MARIA DE MAEZTU 1,261 - Facultad Derecho,Avenida Complutense nº 23,4032.665527923143
Pista de Patinaje Paco de Lucía,Principales espacios de deporte,AUDITORIO PACO DE LUCIA ,224 - Caramuel,Calle Caramuel nº 51,4779.660155279829
Pista de petanca Centro de Mayores La Vaguada,Principales espacios de deporte,AVENIDA MONFORTE DE LEMOS 36,207 - Remonta,Calle Azucenas nº 1,2159.0055420621243
WiZink Center,Principales espacios de deporte,CALLE JORGE JUAN 99,62 - O'Donnell,Calle O'Donnell nº 50,222.40548729995314
