Place of interest,Type of Place,Place Address,BiciMAD Station,Station Location,Distance
Instalación Deportiva Municipal Básica Pista de Petanca de Islas Jarvi,Principales espacios de deporte,CALLE CASTIELLO DE JACA 3,249 - Manuel Caldeiro,Paseo de la Castellana nº 298,2596.1657790897493
Instalación Deportiva Municipal Básica Pista de Skate,Principales espacios de deporte,CALLE CAPITAN BLANCO ARGIBAY S/N,239 - Francos Rodríguez,Calle Francos Rodríguez nº 62,1435.8872518036344
Instalación Deportiva Municipal Básica Pistas de Petanca Dehesa de la Villa,Principales espacios de deporte,CALLE FRANCOS RODRIGUEZ 1,205 - Estrecho,Calle Navarra nº 1,109.4294267944782
Instalación Deportiva Municipal Básica Plan Parcial,Principales espacios de deporte,CALLE PLAN PARCIAL 3,213 - Glorieta de Cádiz,Calle Antonio López nº 129,2204.6173878049185
Instalación Deportiva Municipal Básica Plaza Colonia Oroquieta,Principales espacios de deporte,CARRETERA ANDALUCIA S/N C/V CARRETERA VILLAVERDE A VALLECAS,235 - Embajadores 191,Calle Sodio nº 1B,4087.727686998291
Instalación Deportiva Municipal Básica Plaza Fonsagrada,Principales espacios de deporte,PLAZA FONSAGRADA 6,207 - Remonta,Calle Azucenas nº 1,1976.02453125707
Instalación Deportiva Municipal Básica Plaza Munguía,Principales espacios de deporte,PLAZA MUNGUIA 1 Poblado dirigido Orcasitas,213 - Glorieta de Cádiz,Calle Antonio López nº 129,2418.859720648968
Instalación Deportiva Municipal Básica Plaza Vallandes,Principales espacios de deporte,CALLE CALESAS 4,222 - Antonio López,Calle Eugenio Caxes frente al nº 12,261.5656028416847
Instalación Deportiva Municipal Básica Plaza de Arteijo,Principales espacios de deporte,PLAZA ARTEIJO 10,207 - Remonta,Calle Azucenas nº 1,1909.532513465116
Instalación Deportiva Municipal Básica Plaza de Bami - Benidorm,Principales espacios de deporte,CALLE JOSE VILLENA  esq. Benidorm - Plaza de Bami,188 - Puente de Ventas,Avenida de Daroca nº 2,405.11870888511834
Instalación Deportiva Municipal Básica Plaza de María Soledad Torres Acosta,Principales espacios de deporte,PLAZA María Soledad Torres Acosta ,166 - Segovia 26,Calle Segovia nº 26,186.34423157991094
Instalación Deportiva Municipal Básica Plaza de Sestao,Principales espacios de deporte,PLAZA SESTAO 1,213 - Glorieta de Cádiz,Calle Antonio López nº 129,2765.2587841252302
Instalación Deportiva Municipal Básica Plaza de la Orotava,Principales espacios de deporte,PLAZA LA OROTAVA 1,215 - Gutierre de Cetina,Calle Gutierre de Cetina nº 77,805.085184399733
Instalación Deportiva Municipal Básica Plaza del Campillo de Mundo Nuevo,Principales espacios de deporte,PLAZA Campillo del Mundo Nuevo ,166 - Segovia 26,Calle Segovia nº 26,186.34423157991094
Instalación Deportiva Municipal Básica Pobladura del Valle,Principales espacios de deporte,CALLE POBLADURA DEL VALLE s/n c/v Amposta,215 - Gutierre de Cetina,Calle Gutierre de Cetina nº 77,2308.702696712396
Instalación Deportiva Municipal Básica Poeta Esteban Villegas,Principales espacios de deporte,CALLE POETA ESTEBAN DE VILLEGAS 4,79 - Puerta de Granada,Avenida de Menéndez Pelayo nº 38,503.21430837732976
Instalación Deportiva Municipal Básica Polígono 20,Principales espacios de deporte,CALLE PADRE CLARET 18,251 - Corazón de María,Calle Santa Hortensia nº 31,669.9480157404553
Instalación Deportiva Municipal Básica Polígono de las Rosas,Principales espacios de deporte,CALLE HELSINKI 8 c/v Oslo,215 - Gutierre de Cetina,Calle Gutierre de Cetina nº 77,4263.232235727766
Instalación Deportiva Municipal Básica Polígono de África,Principales espacios de deporte,CALLE VILLAESCUSA 56,215 - Gutierre de Cetina,Calle Gutierre de Cetina nº 77,1633.8924842506199
Instalación Deportiva Municipal Básica Pradillo,Principales espacios de deporte,CALLE PRADILLO 23,196 - Prosperidad,Calle Suero de Quiñones nº 2,600.215325870235
Instalación Deportiva Municipal Básica Pradillo - Santa Marca,Principales espacios de deporte,CALLE PRADILLO 23,196 - Prosperidad,Calle Suero de Quiñones nº 2,600.215325870235
